CustomFieldValue,CustomFieldValueDescription
110150,Cash Intellectual Property Foundati
130370,Sponsor Undistributed Cash
160453,Due from State LT
170004,Principal Collected
170036,EC-NFLP Employ Y1 20%
170037,EC-NFLP Employ Y2 20%
170038,EC-NFLP Employ Y3 20%
170039,EC-NFLP Employ Y4 25%
195633,Accum Depr Leased Equip
210001,210001 - A P Interface
210183,PhD student health care premium
210184,California State Income Tax
210185,California Employment Training Tax
210186,California Disability Tax
210187,California Unemployment Tax
230008,Due to VA Dept of Tax
400132,400132 - Spec Course Fee Fal
400133,Spec Course Fee Sprg
400135,Fees Applic
400141,Collections Prior Ye
400200,400200 - Federal Grants Contracts
400207,Federal Iraq-Afghanistan Srvc Grant
400601,400601 - Oth Sales Serv Educ
400651,400651 - Refund Use Only
400689,Misc Revenue Oth E G
406002,Revenue Other Source
406031,VRS Special Contributions
408102,408102 - Alumni Cash
408104,Friend Cash
408112,Foundation Support
408115,Contribution Revenue
408301,Interest Revenue E&G
408304,Other Interest Income
408329,408329 - Ram Fund CB Unrestricted
410651,Other Fees
410683,Facilities Rental
410688,410688 - Royalty Received
410697,Faculty and Staff Payroll Deduction
410733,410733 - Revenue Other
410771,410771 - Housing Conf Rev
410791,Interest Revenue Aux
410822,410822 - Gate Receipts
410829,Away Game Ticket Sales
410835,410835 - Tickets Sales - Non Athletics Dept
410839,410839 - Athl Rev Other Source
410863,Stu Act Fac User Fee
411001,Parking Payroll Ded VCU
411002,Parking Employees Non-Payroll
411007,Parking SE Non-University Related
411019,411019 - Parking Cost Recovery and Other
411024,Parking EV Charging
530180,PostDoc Bonuses and Awards
541115,Athletics Buyout
555110,555110 - Employee Moving and Relocation Cost
600002,600002 - Express Services
600007,600007 - Messenger Services
600008,600008 - Mailing Services
600010,600010 - Media Services Recruiment Advertisi
600011,600011 - Media Services Advertising
600012,600012 - Printing Services
600015,600015 - Transportation Services
600017,600017 - Outbound Freight Ser
600018,600018 - Artist Fees
600019,600019 - Photography
600020,600020 - Videography/Audio Recording
600021,600021 - Design
600022,600022 - Inbound Freight Ser
600023,600023 - Security Services
